patient_question,cleaned_text,keywords,distance_to_centroid
 My idea was rejected my team must think I'm dumb.,idea rejected team must think dumb,"['idea rejected', 'rejected team', 'think dumb', 'team think', 'rejected']",0.57773554
 I didn't get the promotion I will never progress in my career.,get promotion never progress career,"['promotion progress', 'promotion', 'progress career', 'career', 'progress']",0.34526175
 I wasn't promoted I'm a failure at my job.,promoted failure job,"['promoted failure', 'failure job', 'promoted', 'failure', 'job']",0.40348452
 I wasn't selected for the project my ideas must be worthless.,selected project idea must worthless,"['idea worthless', 'project idea', 'selected project', 'idea', 'project']",0.6359693
 I didn't get the raise my work is not appreciated.,get raise work appreciated,"['raise work', 'raise', 'work', 'work appreciated', 'appreciated']",0.41381687
 My idea was rejected I'm worthless.,idea rejected worthless,"['idea rejected', 'rejected worthless', 'rejected', 'idea', 'worthless']",0.5321759
 I don't have a high-paying job I'm not successful.,high paying job successful,"['job successful', 'high paying', 'paying job', 'successful', 'job']",0.45361626
 I wasn't asked to join the team they must not think I'm good enough.,asked join team must think good enough,"['join team', 'asked join', 'team think', 'join', 'team']",0.5949538
 My team didn't support my proposal they must think I'm incompetent.,team support proposal must think incompetent,"['support proposal', 'team support', 'think incompetent', 'incompetent', 'proposal think']",0.5164016
 I was overlooked for the promotion my work is not good enough.,overlooked promotion work good enough,"['overlooked promotion', 'promotion work', 'promotion', 'overlooked', 'work good']",0.5234847
 My teacher didn't answer my question she must think it was dumb.,teacher answer question must think dumb,"['teacher answer', 'think dumb', 'dumb', 'teacher', 'question think']",0.40669268
 I wasn't included in the group project they must think I'm incapable.,included group project must think incapable,"['group project', 'think incapable', 'project think', 'included group', 'incapable']",0.612809
 My proposal was rejected I'm not good at my job.,proposal rejected good job,"['proposal rejected', 'rejected good', 'rejected', 'proposal', 'job']",0.49046898
 I can't speak another language fluently I'm not intelligent.,speak another language fluently intelligent,"['language fluently', 'fluently intelligent', 'speak language', 'fluently', 'speak']",0.31269974
 I haven't been promoted yet my work must be mediocre.,promoted yet work must mediocre,"['promoted work', 'work mediocre', 'promoted', 'mediocre', 'work']",0.5193666
 I wasn't chosen for the project my skills must be lacking.,chosen project skill must lacking,"['project skill', 'skill lacking', 'chosen project', 'skill', 'project']",0.73184705
 My project didn't receive any funding my ideas must be worthless.,project receive funding idea must worthless,"['funding idea', 'receive funding', 'idea worthless', 'project receive', 'funding']",0.53332597
 I didn't receive a raise I'm not valued at my job.,receive raise valued job,"['receive raise', 'raise valued', 'raise', 'valued job', 'valued']",0.2844643
 My proposal was rejected I must not be good enough.,proposal rejected must good enough,"['proposal rejected', 'rejected good', 'proposal', 'rejected', 'good']",0.4705816
 I didn't receive a promotion I must not be competent at my job.,receive promotion must competent job,"['promotion competent', 'receive promotion', 'promotion', 'competent job', 'competent']",0.51911783
 My teacher didn't choose me to lead the group they must think I'm incapable.,teacher choose lead group must think incapable,"['lead group', 'choose lead', 'lead', 'teacher choose', 'group think']",0.5525307
 I wasn't asked to join the study group they must think I'm dumb.,asked join study group must think dumb,"['join study', 'study group', 'asked join', 'study', 'join']",0.5818318
 I wasn't chosen for the job I must not have the skills.,chosen job must skill,"['job skill', 'chosen job', 'skill', 'chosen', 'job']",0.6231223
 My idea wasn't accepted for the project I must not be innovative.,idea accepted project must innovative,"['project innovative', 'innovative', 'idea accepted', 'accepted project', 'idea']",0.6719498
 I don't have a high-paying job I'm not as good as my peers.,high paying job good peer,"['high paying', 'good peer', 'peer', 'paying job', 'job good']",0.48660707
 I didn't win the science fair my project must have been poor.,win science fair project must poor,"['science fair', 'project poor', 'win science', 'fair project', 'project']",0.5036296
 I'm not fluent in another language I must not be cultured.,fluent another language must cultured,"['language cultured', 'fluent language', 'fluent', 'cultured', 'language']",0.2717382
 My suggestion wasn't taken up my ideas must be worthless.,suggestion taken idea must worthless,"['idea worthless', 'suggestion taken', 'suggestion', 'idea', 'taken idea']",0.6256554
 I can't code as well as my friend I'm not smart.,code well friend smart,"['code friend', 'friend smart', 'code', 'smart', 'friend']",0.4283579
 My project didn't get approved my work must not be good enough.,project get approved work must good enough,"['project approved', 'approved work', 'project', 'work', 'approved']",0.65158165
 My proposal wasn't accepted my ideas must not be worth it.,proposal accepted idea must worth,"['proposal accepted', 'proposal', 'accepted idea', 'idea worth', 'idea']",0.51162636
 My friend didn't ask me for help with their assignment they must think I'm not smart.,friend ask help assignment must think smart,"['assignment think', 'think smart', 'help assignment', 'smart', 'assignment']",0.5647265
